"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/10/2019 01:09:41:826 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached"
"245","115","3","5036","0","602.7605127897816","100","30.23663544513412","19.026036013868637","false","true"
"246","116","3","2253","0","3.858349391541116","0","0.5574151315705685","0.08236686084851251","false","false"
"221","91","3","3375","0","791.6965218701409","100","11.35725679188365","6.917706485492141","false","true"
"255","125","3","2645","0","339.6605376649861","0","36.5838866966823","27.864981562024063","false","false"
"259","0","5","180","0","7.598525679104892","0","0","0","false","false"
"260","1","5","357","0","4.3707752473160815","0","0","0","false","false"
"256","126","3","3339","0","96.33190900391511","0","11.629551132323183","4.81166234508006","false","false"
"261","2","5","290","0","45.89311285185251","0","6.357248199113406","1.911397645901575","false","false"
"251","121","3","5653","0","674.6104385875788","100","25.24940033824396","17.072088037273566","false","true"
"262","3","5","379","0","21.219445735641678","0","3.120938049978701","0.3105175677704769","false","false"
"263","4","5","446","0","38.018733170606666","0","0","0","false","false"
"265","6","5","562","0","1.9096937932714588","0","0.22642835597268415","0.09963271675712822","false","false"
"252","122","3","5327","0","585.1430282494468","100","22.51920010153889","15.795589083302723","false","true"
"264","5","5","212","0","6.178484752700655","0","0.694354532727685","0.4426980205473907","false","false"
"268","9","5","392","0","13.053669087123012","0","2.438165032236877","0.11434314486387505","false","false"
"254","124","3","6227","0","385.824975049892","100","15.957317000648437","11.298962616410838","false","true"
"257","127","3","6655","0","312.99420540628194","100","5.736540615329049","5.6094822923106245","false","true"
"271","12","5","307","0","75.30743583495965","0","11.54716419413692","2.042633301776393","false","false"
"266","7","5","539","0","26.236753832678282","0","1.8501877112084604","1.5405250293933688","false","false"
"253","123","3","3915","0","69.85013084982091","0","6.987547709797027","4.4895616299452605","false","false"
"269","10","5","2109","0","172.08460809128525","0","33.27528330993566","0.46762294821576067","false","false"
"267","8","5","1877","0","52.019010651994975","0","9.816488175927079","0.11975581254139767","false","false"
"272","13","5","2205","0","540.713872832084","0","60.89645370124625","44.149297776005234","false","false"
"273","14","5","404","0","15.478461287964267","0","2.0867460763372385","0.5686464544459764","false","false"
"276","17","5","1211","0","45.94426781358195","0","2.0194920596090786","2.6268399376571367","false","false"
"270","11","5","2232","0","38.700740254031125","0","3.4683871544945784","1.776778751826671","false","false"
"275","16","5","2207","0","20.87514051559723","0","1.2617570083448908","1.0020789848126173","false","false"
"279","20","5","1322","0","12.68283326822308","0","1.0575214009677807","0.6078260544545744","false","false"
"277","18","5","1757","0","172.25978632801943","0","9.703352936908692","7.780911590839596","false","false"
"278","19","5","1707","0","34.407100365966386","0","3.8196282423247405","0.8479602672010337","false","false"
"281","22","5","1567","0","98.63827621143537","0","8.868696086682883","0.7104700213924606","false","false"
"283","24","5","344","0","1.553535216660369","0","0.19980423838873074","0.07768176026934231","false","false"
"284","25","5","457","0","2.287021700276253","0","0.18926877720189916","0.12173243141874612","false","false"
"285","26","5","646","0","34.949238174468384","0","3.871251966943055","1.983061669495943","false","false"
"286","27","5","570","0","71.62475343536028","0","9.516777269907424","2.0781019736174082","false","false"
"287","28","5","401","0","4.3768022055333375","0","0.6551525129336356","0.15066401739979232","false","false"
"274","15","5","997","0","130.77844642537852","0","10.249568937141055","7.686207757085371","false","false"
"288","29","5","522","0","41.26078411349226","0","4.047757778754946","2.720098517234145","false","false"
"290","31","5","696","0","164.34566720702395","0","23.62612173146836","4.567498945948138","false","false"
"289","30","5","700","0","10.78735301715617","0","1.3957660658192828","0.4619234290897881","false","false"
"280","21","5","2955","0","15.81837522580247","0","1.4019342883583479","0.789399306869947","false","false"
"293","34","5","294","0","4.204601726282947","0","0.7083046110854221","0.10233341360735297","false","false"
"282","23","5","2201","0","211.27252449562127","0","15.703767471338194","14.692644758729642","false","false"
"294","35","5","648","0","16.805863488386386","0","1.6496951474505333","0.8596994215613019","false","false"
"295","36","5","275","0","17.426019195925974","0","0","0","false","false"
"292","33","5","382","0","57.74766950616882","0","4.793512769049902","3.1030232317727107","false","false"
"291","32","5","539","0","38.009858392691065","0","0","0","false","false"
"297","38","5","223","0","3.257764318984905","0","0.47853975631870466","0.11387470196307124","false","false"
"303","44","5","369","0","25.405440886451473","0","3.5390811441753907","1.6088002814816977","false","false"
"298","39","5","808","0","116.07164359802049","0","8.973846927950284","7.708136471686676","false","false"
"296","37","5","1557","0","131.9135999648427","0","11.229190499989523","9.09971820641378","false","false"
"301","42","5","1091","0","57.19812854193385","0","4.314586000237709","4.34529176238289","false","false"
"300","41","5","1179","0","124.91865094936607","0","11.17569727233737","9.994162192496091","false","false"
"307","48","5","1067","0","54.21096445956016","0","3.5942290802942347","3.577167837165351","false","false"
"299","40","5","1849","0","834.5007783755491","0","36.538890612862865","35.75465899719754","false","false"
"302","43","5","2263","0","91.55951454275778","0","4.208252181796372","1.9938862946611902","false","false"
"306","47","5","878","0","181.6522942793008","0","9.329532088251863","12.237328767754951","false","false"
"304","45","5","470","0","33.80119646977629","0","2.429876376382144","1.734874596767179","false","false"
"309","50","5","271","0","30.40693178341265","0","2.7737095222021884","1.5816604944698094","false","false"
