"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"351","35","15000","-13.55","-13.55","0.29"
"354","35","15000","-14.6","-14.6","0.08"
"355","35","15000","-16.7","-16.7","0.26"
"357","35","4739","-4.064","-4.064","0.135"
"358","35","7880","-7.205","-7.205","0.135"
"361","36","15000","-14.45","-14.45","0.11"
"359","35","15000","-14.8","-14.8","0.04"
"362","36","4762","-4.662","-4.662","0.02"
"360","35","15000","-14.6","-14.6","0.08"
"363","36","4742","-4.667","-4.667","0.015"
"364","36","5953","-4.878","-4.878","0.215"
"368","36","15000","-13.45","-13.45","0.31"
"365","36","4735","-3.66","-3.66","0.215"
"366","36","4754","-4.553999999999999","-4.553999999999999","0.04"
"369","36","15000","-14.65","-14.65","0.07"
"367","36","15000","-14.275","-14.275","0.145"
"375","37","15000","-14.675","-14.675","0.065"
"370","36","15000","-14.875","-14.875","0.025"
"371","37","4772","-2.5220000000000002","-2.5220000000000002","0.45"
"372","37","4778","-4.728","-4.728","0.01"
"377","37","15000","-14.625","-14.625","0.075"
"373","37","9397","-9.097","-9.097","0.06"
"374","37","4736","-5.511","-5.511","0.045"
"376","37","15000","-14.75","-14.75","0.05"
"380","37","15000","-13.575","-13.575","0.285"
"382","38","15000","-14.125","-14.125","0.175"
"378","37","15000","-14.725","-14.725","0.055"
"379","37","15000","-14.6","-14.6","0.08"
"381","38","15000","-14.225","-14.225","0.155"
"383","38","4725","-3.5249999999999995","-3.5249999999999995","0.24"
"384","38","4778","-4.077999999999999","-4.077999999999999","0.14"
"385","38","15000","-14.175","-14.175","0.165"
"386","38","15000","-14.8","-14.8","0.04"
"387","38","4721","-4.521","-4.521","0.04"
"388","38","7002","-5.427","-5.427","0.315"
"390","38","4756","-4.206","-4.206","0.11"
"389","38","13874","-12.124","-12.124","0.35"
"391","39","4752","-3.377","-3.377","0.275"
"395","39","15000","-13.075","-13.075","0.385"
"392","39","14090","-13.99","-13.99","0.02"
"397","39","15000","-14.825","-14.825","0.035"
"393","39","4729","-4.179","-4.179","0.11"
"394","39","4753","-4.753","-4.753","0"
"398","39","15000","-14.1","-14.1","0.18"
"396","39","4751","-4.476","-4.476","0.055"
"399","39","4762","-4.512","-4.512","0.05"
"404","40","15000","-14.575","-14.575","0.085"
"400","39","4725","-4.6499999999999995","-4.6499999999999995","0.015"
"401","40","4757","-4.731999999999999","-4.731999999999999","0.005"
"402","40","4762","-3.6619999999999995","-3.6619999999999995","0.22"
"403","40","4756","-4.281000000000001","-4.281000000000001","0.095"
"405","40","4766","-4.566","-4.566","0.04"
"409","40","15000","-13.6","-13.6","0.28"
"410","40","15000","-14.375","-14.375","0.125"
"406","40","15000","-13.625","-13.625","0.275"
"407","40","4734","-4.009","-4.009","0.145"
"408","40","4771","-4.6209999999999996","-4.6209999999999996","0.03"
"416","41","15000","-14.25","-14.25","0.15"
"411","41","4749","-3.449","-3.449","0.26"
"412","41","4774","-4.499","-4.499","0.055"
"413","41","4754","-4.704","-4.704","0.01"
"414","41","4724","-3.099","-3.099","0.325"
