"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"182","18","3510","0.9400000000000004","-3.7673194740698275","0.89","0","541.1017637818019","178"
"184","18","3486","0.8639999999999994","-2.928390674693194","0.87","0","513.5731726543837","174"
"183","18","4270","0.5800000000000001","-3.1569415664229634","0.97","0","846.9507393645575","194"
"185","18","3446","1.3289999999999993","-0.3995889180784786","0.955","0","160.2378463294106","191"
"186","18","4464","0.36099999999999977","-2.8448706773561154","0.965","0","627.2331149298291","193"
"187","18","8042","-3.2169999999999996","-6.3847705098501155","0.965","0","370.9587418201948","193"
"188","18","3413","1.512","0.4326832849583284","0.985","0","187.7158186805569","197"
"189","18","3426","1.2490000000000006","-0.01448633150946943","0.935","0","177.56043681352","187"
"190","18","4894","-0.21899999999999942","-3.1440375174248043","0.935","0","571.5558146440596","187"
"191","19","4363","-3.6380000000000003","-10.917910614093376","0.145","0","3607.4038613057946","29"
"194","19","4361","-3.6359999999999997","-13.344989390040666","0.145","0","1216.4206726546677","29"
"192","19","4356","-1.4809999999999999","-7.930369763824558","0.575","0","580.5974484564017","115"
"193","19","4350","-2.3749999999999996","-14.404317316750763","0.395","0","1260.7067749655314","79"
"195","19","4352","-2.8520000000000003","-8.578524371728061","0.3","0","1916.1553894028948","60"
"196","19","4352","-1.9270000000000005","-7.155590519979218","0.485","0","1203.1878842840079","97"
"197","19","4354","-2.404","-11.883489737245101","0.39","0","748.2405882773653","78"
"198","19","4367","-1.117","-4.141670469054688","0.65","0","1373.4994018701743","130"
"199","19","4359","-2.3339999999999996","-9.97618647991339","0.405","0","1686.221963936298","81"
"200","19","4334","-2.4839999999999995","-10.314248264498328","0.37","0","444.120079653174","74"
"201","20","2831","-1.0310000000000001","-8.99349447485552","0.36","0","1234.034508744488","72"
"202","20","2761","-0.7359999999999998","-4.66939705148322","0.405","0","536.8452344324115","81"
"203","20","2813","-0.6880000000000002","-8.066596656838403","0.425","0","790.2796147711624","85"
"204","20","2762","-0.5369999999999999","-8.679548502140648","0.445","0","428.8649782950776","89"
"205","20","2845","-0.6950000000000003","-8.103306822817459","0.43","0","617.3797551451843","86"
"206","20","3349","-1.024","-3.5013823791863476","0.465","0","317.3355992357615","93"
"207","20","2751","-0.8259999999999998","-8.791269802764006","0.385","0","761.6467609422486","77"
"208","20","2823","-0.998","-9.120152457663654","0.365","0","1622.4485780445711","73"
"209","20","2818","-0.5680000000000001","-4.594170825019038","0.45","0","972.6185955396691","90"
"210","20","2900","-0.6749999999999998","-4.939971423209074","0.445","0","530.1962420430513","89"
"211","21","3194","1.4060000000000006","-3.4101739485545037","0.92","0","440.40449165044464","184"
"212","21","3196","1.8039999999999998","-3.9629476412087796","1","0","410.38929986018195","200"
"213","21","3189","1.7110000000000003","-2.795826395621539","0.98","0","382.0626300986203","196"
"214","21","3248","1.7519999999999998","-1.0459181221961806","1","0","1869.404144267079","200"
"216","21","3279","-0.6039999999999996","-11.830157250842515","0.535","0","1337.5342682785129","107"
"215","21","3207","1.6680000000000001","-4.137170258874442","0.975","0","989.7113849547712","195"
"218","21","3198","1.802","0.3334879806335369","1","0","852.3465276871837","200"
"217","21","3248","1.702","-0.4623664027116945","0.99","0","805.6791235586968","198"
"221","22","15000","-12.9","-20.977398649688208","0.42","0","3808.1025477073804","84"
"226","22","15000","-14.05","-23.43404513948032","0.19","0","4829.577052055016","38"
"219","21","3309","-1.1590000000000003","-10.127901215406878","0.43","0","1680.1609233540537","86"
"220","21","3249","1.201","-8.073732031751813","0.89","0","1253.2801400293672","178"
"222","22","15000","-10.7","-21.4728370937343","0.86","0","2617.9415083836734","172"
"223","22","15000","-11.55","-29.147883231167835","0.69","0","4168.190861656532","138"
"224","22","14174","-10.199","-22.201577961662203","0.795","0","3821.632585271177","159"
"225","22","15000","-11.8","-37.708005570737804","0.64","0","2574.3286968207713","128"
"228","22","15000","-13.475","-24.935316173553634","0.305","0","4340.368943968411","61"
"227","22","6946","-2.9709999999999996","-20.501348720950205","0.795","0","3715.762406991012","159"
"231","23","4569","-3.894","-28.63041806237913","0.135","0","1917.7095451878135","27"
"229","22","9456","-5.856","-15.612537863908686","0.72","0","3109.060850267755","144"
"232","23","11035","-10.185","-19.669897464879774","0.17","0","4363.921308478259","34"
"233","23","4562","-3.9370000000000003","-48.770016451689074","0.125","0","2903.642680933704","25"
"234","23","10195","-10.045","-20.186116649668577","0.03","0","3525.219540954467","6"
"230","22","15000","-13.775","-42.93582165352498","0.245","0","4075.051251926156","49"
"235","23","4004","-2.9039999999999995","-7.160236312573847","0.22","0","2938.489460709145","44"
"236","23","6048","-5.973","-16.59163208358615","0.015","0","4424.422954527396","3"
"241","24","15000","-13.225","-21.68534614932325","0.355","0","3598.09512640738","71"
"237","23","2448","-1.498","-19.36709538413197","0.19","0","1869.5244628380165","38"
"242","24","15000","-11.05","-18.53914747119562","0.79","0","2380.5207261257983","158"
"239","23","5302","-3.827","-14.932359678354468","0.295","0","3507.4994320006144","59"
"240","23","5148","-4.923","-12.230234804749834","0.045","0","3609.549546228611","9"
"238","23","12117","-11.742","-26.88575961071739","0.075","0","4413.827748074866","15"
"244","24","15000","-10.675","-15.501394427774262","0.865","0","1188.2523812033946","173"
"243","24","12018","-8.193000000000001","-32.212535361925106","0.765","0","1802.2949160543058","153"
"250","24","15000","-13.3","-24.463977418155135","0.34","0","3572.8874575303876","68"
"245","24","12352","-7.502000000000001","-29.139670681877867","0.97","0","4795.679742758275","194"
"246","24","15000","-11.475","-38.04958921728193","0.705","0","3603.4268749743133","141"
"247","24","15000","-10.425","-15.186176283799774","0.915","0","1485.3985682631308","183"
"248","24","15000","-10.825","-55.12653862321116","0.835","0","3301.351868345442","167"
"251","25","2319","1.931","-1.6377724316734805","0.85","0","324.4889106121827","170"
"249","24","15000","-12.35","-51.862623164971104","0.53","0","4277.658816678328","106"
"252","25","2414","2.036","-8.203623659422226","0.89","0","1667.0713781694903","178"
"253","25","2357","2.393","0.3944234207214268","0.95","0","286.1728902678267","190"
"254","25","2341","1.584","-2.8048369938788063","0.785","0","344.6957802473986","157"
"255","25","2364","1.7859999999999996","-2.8106161548751585","0.83","0","532.2666747318007","166"
"256","25","2378","2.197","-3.645882429558948","0.915","0","970.760139834427","183"
"257","25","2385","2.1400000000000006","-2.766111857228064","0.905","0","894.3148152213416","181"
