"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"147","146","3423","-1.173","-37.211130983268696","0.45","0","2497.9445701779937","90","227.49624505200316","132.88506478068382","[253.95747926765594]"
"148","147","20000","-20","-20","0","0","3383.6693925196914","0","0","0","[676.7338785039383]"
"150","149","2200","0.5499999999999998","-4.729042310907588","0.55","0","1130.5543930584142","110","20.31700704468744","32.473416064388445","[226.11087861168286]"
"151","150","2263","1.6870000000000003","-10.407282073627538","0.79","0","888.6912331277556","158","82.68734232639017","38.25547840988521","[122.89676450423096]"
"149","148","20000","-15.7","-30.83566808835194","0.86","0","3829.407357633006","172","89.08498768550685","62.27169319801261","[765.8814715266012]"
"152","151","2673","-3.673","-3.673","0","1","897.6049758331201","0","0","0","[179.520995166624]"
"153","152","5931","-5.906","-5.906","0.005","0","3512.693907631152","1","0","0","[697.0952310542818]"
"154","153","4647","-0.5470000000000006","-11.096615572306352","0.82","0","900.5469638804066","164","62.1378804730633","43.35827525000022","[77.80516271839832]"
"156","155","2538","-2.538","-2.538","0","0","195.5918114317819","0","0","0","[39.11836228635638]"
"157","156","3853","-3.853","-3.853","0","0","461.494685800431","0","0","0","[15.361419928297867]"
"158","157","8095","-7.720000000000001","-17.613704378510604","0.075","0","926.1194824979185","15","66.39916692303392","32.537876862072146","[33.73471029303195]"
"155","154","20000","-15.8","-32.221399173159995","0.84","0","2482.293537425667","168","81.55331586863804","82.66067586296195","[496.45870748513346]"
"159","158","3635","-2.0599999999999996","-5.082051585799354","0.315","0","318.69088902520224","63","19.142065005488394","11.078450852505156","[63.73817780504044]"
"161","160","20000","-18.825","-25.42674888119225","0.235","0","2342.5218402002847","47","38.96889858793675","27.048590223985748","[441.3550428944105]"
"160","159","3455","-2.455","-8.758318131646593","0.2","0","1271.7253355463833","40","19.122685474363106","43.910495842102826","[76.26044274801318]"
"162","161","2545","-2.545","-2.545","0","0","1599.5197733760901","0","0","0","[298.0526744046306]"
"163","162","3223","-0.04800000000000004","-7.196115692170755","0.635","0","932.0164658046922","127","37.53522790031854","33.94592902138902","[186.40329316093843]"
"164","163","2968","-2.968","-2.968","0","0","2779.637618287756","0","0","0","[551.175515134099]"
"165","164","2242","0.9830000000000001","-9.10467058049571","0.645","0","917.8250542526409","129","71.55810606103","29.318599743927074","[183.56501085052818]"
"166","165","2149","2.851","-8.245840528784768","1","0","618.3317254430497","200","69.82426974190257","41.14413554594513","[69.9557356731575]"
"167","166","2526","-0.7509999999999999","-8.726033734584616","0.355","0","1310.0708615304086","71","53.85323949750179","25.89709784834438","[262.0141723060817]"
"168","167","2229","2.6959999999999997","-2.3340179615032195","0.985","0","1074.89312575517","197","26.14105095211864","24.159128662913552","[214.978625151034]"
"169","168","6760","-1.7599999999999998","-1.959207107980692","1","0","126.7867148267809","200","1.3348167130503312","0.6572543667565908","[23.479197957831328]"
"170","169","2866","1.6839999999999997","-0.43828372348663835","0.91","0","124.16112327963558","182","14.289488090002283","6.933349144864092","[14.604253847691078]"
"171","170","2847","-0.347","-8.140580272884852","0.5","0","510.1376780714013","100","41.04846156054155","36.88734116830699","[39.20588033031568]"
"173","172","3835","-1.1099999999999999","-45.86582259357715","0.545","0","2672.281536693247","109","218.50905258377782","229.04917335199372","[55.160368741842746]"
"175","174","4249","-3.6739999999999995","-4.828335305995806","0.115","0","2567.2260551725662","23","5.920045795692665","5.623307264265399","[181.9865487195982]"
"172","171","20000","-17.425","-51.49082819425584","0.515","0","2409.428584449686","103","198.25545007342265","142.40283186913564","[456.251393748669]"
"176","175","3596","-1.4460000000000002","-15.907574049342298","0.43","0","1650.2956617366426","86","93.10165667265655","51.514083820766416","[173.3205157611802]"
"174","173","4200","-1.5750000000000002","-9.642208997399475","0.525","0","787.5032157246726","105","57.56301446322708","23.109075510767656","[118.98448813978128]"
"180","179","20000","-17.825","-38.64006520352925","0.435","0","2532.688612582737","87","142.72381939801852","65.42683263727389","[506.5377225165473]"
"181","180","20000","-24.249","-24.249","0","0","0","0","0","0","[]"
"178","177","2551","0.44899999999999984","-5.127020829866668","1","2","492.54990952464266","200","32.5296156195446","23.23059267912208","[97.4244956171044]"
"177","176","5100","-1.0749999999999993","-11.093003600310125","0.805","0","1677.440767061416","161","66.4402366543734","33.73979934872788","[335.48815341228317]"
"183","182","5728","-5.728","-5.728","0","0","3191.8707968857334","0","0","0","[637.0368487714032]"
"182","181","3731","0.6690000000000005","-3.8037784421848766","0.88","0","382.64829124769904","176","23.87520114445005","20.8525832773987","[76.5296582495398]"
"185","184","4600","8.881784197001252E-16","-7.228383574625213","0.92","0","430.2885548094729","184","50.53965106386942","21.744184682382713","[42.427355936012965]"
"184","183","20000","-19.8","-27.314297332354748","0.04","0","1820.8003346323758","8","60.20167692682625","14.941296396721254","[357.5042625635399]"
"186","185","2491","-2.491","-2.491","0","0","98.15706482013512","0","0","0","[12.980734879714745]"
"187","186","2270","-2.145","-8.947919016303565","0.025","0","777.2168569171134","5","56.07272865820912","11.95646150482652","[144.56667939626902]"
"191","190","20000","-20","-20","0","0","2180.396826102387","0","0","0","[419.64662627633055]"
"188","187","4964","-4.964","-4.964","0","0","113.96147076140521","0","0","0","[22.79229415228104]"
"179","178","8988","-8.988","-8.988","0","0","3435.6050264215637","0","0","0","[246.3982055495493]"
